,label,text
1,dress,‏ #أسباب_التحرش اللباس الغير ساتر بالنسبة للنساء
2,men, @BoHotn: رغم هذا اللباس مازالت المراة تتعرض للاعتداء الجنسي ماهي حجتكم الان ؟! #التحرش pic.twitter.com/4DF7MTcH9C
3,men,#GénérationNews كاين التحرش الجنسي ماشي التحرش اللبسي . بمعنى راه اللباس معندو علاقة و انما العقلية الذكورية الي كتشوف الانثى جسد !!!
4,men,#GénérationNews مكيناش حتى علاقة بين التحرش الجنسي و بين اللباس راه المشكلة في التخلف العقلي عند بعض الذكور اللي مسمين راسهم رجال
5,men,-لبسها حريه شخصيه -التحرش مالها مبرر -سبب التحرش هو المتحرش نفسه -لوكان اللباس له علاقه ماشفناهم طردي ورا الاطفال https://twitter.com/_ibande/status/926847574753103872 …
6,dress,‏ #حقيقه_صدقيه أختي البنت الخليجية :- ​إذا أصبح اللباس الضيق حرية شخصية ..  فــ التحرش واجب وطـنـي على الشاب الخليجي 
7,dress, إذا أصبح اللباس الضيق حرية شخصية ... فإن التحرش يصبح واجب وطني  http://fb.me/12FUxzQlZ 
8,dress,#G4g_ruh1 اخطاء شائعه التحرش الجنسي مثلا التربيت على الكتف مدح اللباس والشكل العبارات التي قد تحتوي معاني جنسيه
9,men,#ابدأ_بنفسك_ضد_التحرش اللباس لا دخل له انتم تحاولون التخفي وراء اصابعكم
10,men,#ابدأ_بنفسك_ضد_التحرش اللباس لا دخل له انتم تحاولون التخفي وراء اصابعكم pic.twitter.com/g9E4d9zC4d
11,men,#ابدأ_بنفسك_ضد_التحرش اللباس ليس له دخل بالتحرش هو مرض فيا ريت لو شفت متحرش ادخل ماتقولش تستاهل هي اللي لبسة كده ؟؟؟؟ pic.twitter.com/2MSVXbLoMS
12,men,#ابدأ_بنفسك_ضد_التحرش يلقون اللوم على اللباس طيب والاطفال كمان اللباس
13,dress,#احموا_طفولتي من منّا يذكر اطفاله بنعمة الله على خلقه بإنزال اللباس ساتراً وحافظاً لهم من انكشاف عوراتهم،واللباس الساتر يقي من التحرش
14,dress,#اسباب_التحرش_بالفتاة ..قلت ادب وتربيت الشاب ... وتجرد الفتيات من اللباس الساتر المحتشم ..)ضعف الوازع الديني(
15,dress,#اسباب_التحرش_بالفتاة .اولا المتحرش هو حيوان بلاعقل لاكن مايجذب الحيوان للتحرش هو اللباس الفاتن والتصرفات والنظرات المخجله من بعض الفتيات
16,dress,#اسباب_التحرش_بالفتاة ١-ضعف الوازع الديني عند المتحرش ٢-عدم تطبيق الشرع على من يتحرش ٣-اللباس الغير شرعي عند بعض الفتيات ٤-تأخير الزواج
17,dress,#اسباب_التحرش_بالفتاة التبرج في اللباس وتبادل النضرات مع الرجال وتعمد الإغراء !
18,dress,#اسباب_التحرش_بالفتاة اللباس الغیر ساتر الذی تظهرفیه الزینه
19,dress,#اسباب_التحرش_بالفتاة اللباس بادرجه الاولي و عدم غض البصر ضعف الوازع الديني عند الشباب
20,dress,#اسباب_التحرش_بالفتاة ضعف الوازع الديني لدى الشاب ويرجع ايضاً الى تبرج ( بعض ) الفتيات في اللباس مما يجعل ( بعض ) الشباب التحرش بها .
21,dress,#اسباب_التحرش_بالفتاة عدم احتشامها في اللباس والمشي
22,men,#اسباب_التحرش_بالفتاة عدم وجود قانون يحميها ، وليس لنوع اللباس دخل في ذلك ، حتى المتلحفة بالسواد لا تسلم من التحرش pic.twitter.com/ZJpd8RDDw7
23,dress,#اسباب_التحرش_بالفتاة لمن يعارض أن التبرج أقوى أسباب التحرش، لو كان لديك عاملة منزلية ولديك مراهقون ، هل تترك لها الحرية في اختيار اللباس؟
24,dress,#اسباب_التحرش_بالفتاة لو نتكلم بكل شفافية وحياد نجد أن من أسباب التحرش : 1/ ضعف الوازع الديني ( لكل من الطرفين) 2/ اللباس المثير للفتنة..
25,dress,#اسباب_التحرش_بالفتاة لو نتكلم بكل شفافية وحياد نجد أن من أسباب التحرش : 1/ ضعف الوازع الديني ( لكل من الطرفين) 2/ اللباس المثير للفتنة..”
26,men,#اسباب_التحرش_وعلاجه المتحرش يتحرش والمسؤولية دائما تقع على المرأة بمبرر انها هي التي لا تحترم ضوابط معينة في اللباس، و تغري الرجال بفتنتها! وهذا ما يسمى: إدانة الضحية لنفسها عندما تصبح عاجزة عن رد حقها وضمان اعتبارها، فتلوم نفسها على جرم لم ترتكبه
27,men,#اسباب_التحرش_وعلاجه. اللباس ليس له علاقة لان اللباس اصبح ليس محترما لابنات ولا الشباب
28,dress,#اسباب_انتشار_حالات_التحرش 1.ضعف الوازع الديني والفراغ العاطفي والتربية السيئة 'للشباب' 2.نوعية اللباس والجرأة في الكلام والنظر الشباب'بنات
